房源编号,名称1,户型,月租,付款方式,租赁方式,面积,朝向,维护,楼层,车位,租期,入住,电梯,描述,地铁站,离地铁站距离,网站,名称,区,街道,小区
房源编号：SH2526590807947870208,整租·新梅绿岛苑,5室2厅,8200,(季付价),整租,103㎡,南,4天前,高楼层/6层,暂无数据,2年以内,随时入住,无,"【房源亮点】<br />
带阁楼，可以做储藏室，也可居住，多项选择，超大面积，装修靓丽。<br />
<br />
【户型介绍】<br />
此房为顶楼复式五房，户型方正，布局紧凑，房屋干湿分离，采光无遮挡，储物空间多，宜室宜居<br />
<br />
【装修描述】<br />
精装修，家具家电齐全，干净宽敞五房，利用率高，适合爱惜房屋的您<br />
<br />
【交通出行】<br />
1号线呼兰路地铁站996米，小区南门口有公交车165路、745路、705路、宝山20路，小区东门口有公交车850路，线路众多，贯穿南北<br />
<br />
【出租原因】<br />
业主有其他住所，可以长期出租三年以内，需要长期稳定爱干净的客户<br />
<br />
【周边配套】<br />
万达广场 万渡广场 家乐福商场 北斗星广场 DFC影城 万达影城 野桥菜市场 汤连得温泉<br />
<br />
",1号线 - 呼兰路,1010m,http://sh.lianjia.com/zufang/SH2526590807947870208.html,"
          整租·新梅绿岛苑 5室2厅 跃层 南        ",宝山,共康,新梅绿岛苑
房源编号：SH2520772054194585600,整租·银都新村(8至10区),2室1厅,4100,(季付价),整租,56㎡,南,今天,低楼层/6层,暂无数据,3年以内,随时入住,无,"【装修描述】<br />
稀有低楼层舒适二房，南北通透，空间独立，良好的采光，业主很好说话，期待有缘的租客。<br />
<br />
【交通出行】<br />
地处闵行颛桥银都路，都市路，近地铁1号线莘庄站（南广场）。地铁银都路站，交通便捷，田园高中，小区门口有工商银行，菜市场。仲盛世界商场和颛桥万达，格外便利。<br />
<br />
【周边配套】<br />
大型菜市场，满足日常生活需求，银都路上基本形成一条小吃街，步行可到达龙盛广场，好爱广场等大型商圈，满足大众型娱乐消费需求。<br />
<br />
",5号线 - 银都路,942m,http://sh.lianjia.com/zufang/SH2520772054194585600.html,"
          整租·银都新村(8至10区) 2室1厅 南        ",闵行,颛桥,银都新村(8至10区)
房源编号：SH2556465922181709824,整租·天钥花苑,3室1厅,14000,(季付价),整租,142㎡,南,5天前,低楼层/10层,暂无数据,1年以内,随时入住,有,"【房源亮点】<br />
房子目前还是比较适合办公的，两个大卧室和客厅的空间很大，连在一起办公用很适合，而且两个卧室朝南，阳台也带一扇门，采光没有问题。<br />
<br />
【户型介绍】<br />
户型方正，三个房间，两个朝南的房子比较大，另一个小卧室朝北，两厅两卫。<br />
<br />
【装修描述】<br />
装修比较老了，还是很久以前的装修，上一个租客是做办公的，所以保养的也不是很好，但是简单弄一下，这个房间还是会很好看的。<br />
<br />
【交通出行】<br />
向西走可到徐家汇地铁站，可乘坐1,9,11三条地铁线，南边在星游城楼下是上海体育场地铁站，可乘坐4号线。<br />
<br />
【周边配套】<br />
北边有美罗城，太平洋百货，汇金百货以及恒隆广场等大型商场，南边就是星游城，吃喝玩乐一体化。<br />
<br />
【小区介绍】<br />
小区位于徐家汇慈云街上，在天钥桥路和漕溪北路之间，真正 的闹中取静，不管是办公还是居家居住都是很不错的选择。<br />
<br />
","1号线,9号线,11号线(花桥-迪士尼),11号线(嘉定北-迪士尼) - 徐家汇",380m,http://sh.lianjia.com/zufang/SH2556465922181709824.html,"
          整租·天钥花苑 3室1厅 南        ",徐汇,徐家汇,天钥花苑
房源编号：SH2537714031901548544,整租·东方别墅,5室2厅,38000,(季付价),整租,245㎡,南,5天前,低楼层/3层,暂无数据,1年以内,随时入住,无,"【房源亮点】<br />
精装修，户型好，带地暖和新风   屋况在整个小区里算是不错的。<br />
<br />
【交通出行】<br />
公共交通有961、977、609、申川专线、新川专线等；轨道交通有2号线广兰路地铁站。<br />
<br />
【周边配套】<br />
东方别墅是东郊板块比较雅静的小区，享东郊国宾板块的配套，东郊宾馆，东郊ceter等生活配套。物业服务贴心，保证租户的居住舒适运性。<br />
<br />
【小区介绍】<br />
1，此小区位置浦东东郊国宾板块，环境优美，绿化宜人，适合居住 2、稀有独栋别墅，物业管理严格，24小时有保安巡逻，确保小区的私密性和安全性 3、小区自带会所，可以满足业主和住户的健身需求 4、小区对门就是东郊中 心的商场，生活便利。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2537714031901548544.html,"
          整租·东方别墅 5室2厅 复式 南        ",浦东,张江,东方别墅
房源编号：SH2518692925689569280,整租·金旋小区,2室1厅,6500,(季付价),整租,74㎡,南 北,今天,高楼层/6层,暂无数据,暂无数据,2021/6/1,无,无信息,7号线 - 锦绣路,884m,http://sh.lianjia.com/zufang/SH2518692925689569280.html,"
          整租·金旋小区 2室1厅 南/北        ",浦东,北蔡,金旋小区
房源编号：SH2543572006457319424,整租·塘和家园德悦苑,1室0厅,2800,(季付价),整租,49㎡,南,9天前,高楼层/20层,暂无数据,暂无数据,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2543572006457319424.html,"
          整租·塘和家园德悦苑 1室0厅 南        ",松江,泗泾,塘和家园德悦苑
房源编号：SH2528187926559866880,整租·昌五小区,2室1厅,5690,(季付价),整租,57㎡,南,6天前,高楼层/6层,暂无数据,暂无数据,2021/5/28,无,无信息,"6号线,13号线 - 东明路",542m,http://sh.lianjia.com/zufang/SH2528187926559866880.html,"
          整租·昌五小区 2室1厅 南        ",浦东,世博,昌五小区
房源编号：SH2564359010987802624,整租·金巷小区,2室1厅,100000,(季付价),整租,75㎡,南,今天,中楼层/6层,暂无数据,暂无数据,随时入住,无,无信息,9号线 - 台儿庄路,836m,http://sh.lianjia.com/zufang/SH2564359010987802624.html,"
          整租·金巷小区 2室1厅 南        ",浦东,金桥,金巷小区
房源编号：SH2543585769990127616,整租·绿地柏澜晶舍,3室2厅,4000,(季付价),整租,100㎡,南 北,9天前,低楼层/12层,暂无数据,2年以内,随时入住,无,"【房源亮点】<br />
幼儿园是康弘第三幼儿园一级示范，小 学是崂山 小，教育配套完善， 中 学是傅雷中 学 全部都在2公里范围之内<br />
<br />
【户型介绍】<br />
南北通三房，通风采光好<br />
<br />
【交通出行】<br />
周浦镇基础设施好，生活配套成熟。451、581、639、975、974、东周线、沪南线、周南线、浦卫线、龙东线等十余条公交线路经过，其中581、451、639、975、974、东周线都是从周浦起始，S3线沪奉高速延伸至此。距离16号线周浦<br />
<br />
【出租原因】<br />
有多套住宅，这一套用不着暂时不想空置<br />
<br />
【周边配套】<br />
小区配有两个广场，绿地绿纷广场以及印象生活广场，还配有大型的医院和娱乐场所，即将要开的海印又一城广场，距离万达广场和大润发不到2公里，生活娱乐面面俱到。<br />
<br />
【小区介绍】<br />
绿地柏澜晶舍开发商是绿地企业承建，物业是绿地自己的物业。小区一共有8栋楼，202户人家。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2543585769990127616.html,"
          整租·绿地柏澜晶舍 3室2厅 南/北        ",浦东,周浦,绿地柏澜晶舍
房源编号：SH2325387352115527680,整租·知雅汇(公寓),2室2厅,5600,(季付价),整租,91㎡,东南,6天前,中楼层/10层,暂无数据,暂无数据,2021/6/2,有,"【房源亮点】<br />
精装两房，南北通透，距离八号桥农贸市场1公里左右，有钥匙，看房随时！！！<br />
<br />
【户型介绍】<br />
房子户型方正，卧室一南一北，南北通透，全明户型，每个功能间都有窗户，采光通风比较好！！！<br />
<br />
【周边配套】<br />
沪亭北路是北九亭比较繁华的街道，吃喝玩乐等设施一应俱全，距离涞亭生活坊、九亭金地广场，九里亭工坊，摩利盛汇生活广场，八号桥农贸市场等生活娱乐区不足一公里，尽享生活品质！！！<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2325387352115527680.html,"
          整租·知雅汇(公寓) 2室2厅 东南        ",松江,九亭,知雅汇(公寓)
房源编号：SH2325406061781598208,整租·长虹坊,2室1厅,6300,(季付价),整租,74㎡,南,7天前,中楼层/4层,暂无数据,暂无数据,2021/5/28,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2325406061781598208.html,"
          整租·长虹坊 2室1厅 南        ",徐汇,康健,长虹坊
房源编号：SH2326039181753073664,整租·田林十一村,2室1厅,6700,(季付价),整租,50㎡,南 北,11天前,高楼层/6层,暂无数据,暂无数据,2021/5/10,无,"【房源亮点】<br />
该房屋为轻托管房源，房屋出租无服务费，自带管家服务，入住无需担心业主问题，家具家电齐全拎包入住，物品维修24小时上门处理，适合单身白领、情侣居家<br />
<br />
【交通出行】<br />
小区后门出去读书方便安全，交通便利3、4、9号线地铁均在旁边，公交方便，距离宜山路地铁站500米，距离桂林路地铁站900米，出门即多条公交路线<br />
<br />
【周边配套】<br />
生活服务配套齐全，能满足家庭自住的正常需求，菜场有宜山路菜市场、田林十三村菜市场距离小区比较近，上海市第六人民医院在小区门口，大型超市有沃尔玛、家乐福等<br />
<br />
",9号线 - 桂林路,787m,http://sh.lianjia.com/zufang/SH2326039181753073664.html,"
          整租·田林十一村 2室1厅 南/北        ",徐汇,田林,田林十一村
房源编号：SH2354803073844510720,整租·御品园林,4室2厅,15000,(季付价),整租,505㎡,南 北,5天前,低楼层/1层,暂无数据,3年以内,随时入住,无,"【户型介绍】<br />
永德房产开发的南加州风格的独栋别墅，地下一层可以做一楼 可塑性强<br />
<br />
【周边配套】<br />
商场：上海教育超市 、新世纪联华 、 家乐福、徐泾食尚天地广场、夏都小镇等 医院：泗泾医院 、上海市复退军人精神病院、京汇医院、上海华伦医院 、西虹桥医学 银行：中国工商银行 、中国建设银行等<br />
<br />
【小区介绍】<br />
小区总共分为5期，已建成三期，四期和五期还未建设，竣工时间：2012、2016、2019 开发商：上海永德房地产发展有限公司 物业：永升物业，物业费：地上5.2元月平，地下室2.6元月平 独栋南加州风格，自带会所。堆土造坡，独特的双首层设计<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2354803073844510720.html,"
          整租·御品园林 4室2厅 南/北        ",青浦,徐泾,御品园林
房源编号：SH2386662552232009728,整租·虹桥富力中心,4室2厅,32000,(季付价),整租,262㎡,南,今天,低楼层/9层,租用车位,1年以内,随时入住,无,"【装修描述】<br />
1.富力精装修品质，<br />
2.超大横厅，<br />
3.厨房通燃气，<br />
4.卫生间带浴缸，<br />
5.带大阳台。<br />
<br />
【出租原因】<br />
1.空置房对外出租；<br />
2.办公、居住都方便，可自带家具，根据自己喜好布置房屋软装；<br />
<br />
【周边配套】<br />
1.中骏广场，富力，恒基旭辉，办公氛围很浓郁；<br />
2.龙湖天街，虹桥天地配套，吃喝玩乐一应俱全。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2386662552232009728.html,"
          整租·虹桥富力中心 4室2厅 南        ",闵行,华漕,虹桥富力中心
房源编号：SH2374690711250403328,整租·虹桥机场新村,2室1厅,5000,(季付价),整租,52㎡,南,1个月前,低楼层/6层,暂无数据,暂无数据,随时入住,无,"【户型介绍】<br />
南北两房，主卧朝南带院子，前面无遮挡，采光很不错，院子里养养花，小宠物也有活动空间<br />
<br />
【装修描述】<br />
全套三年新装修，包含电器，家具，统一风格，进门密码锁，不用担心忘带钥匙，次新电器，使用放心<br />
<br />
【小区介绍】<br />
小区配套齐全，有自己的菜市场和商店，生活方便。如果有小朋友需要上幼儿园小区也有哟，出门小区门口就是71路快速公交车站，单独车道，不怕堵车，直达外滩<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2374690711250403328.html,"
          整租·虹桥机场新村 2室1厅 南        ",长宁,西郊,虹桥机场新村
房源编号：SH2482664049708908544,整租·泗泾新苑,2室2厅,5500,(季付价),整租,91㎡,南,11天前,低楼层/13层,暂无数据,暂无数据,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2482664049708908544.html,"
          整租·泗泾新苑 2室2厅 南        ",松江,泗泾,泗泾新苑
房源编号：SH2539685387220025344,整租·万科清林径,5室2厅,12600,(季付价),整租,230㎡,南 北,7天前,低楼层/4层,暂无数据,1年以内,随时入住,无,"【房源亮点】<br />
五室两厅一厨三卫，有宽敞的地下室和阳光房，超大空间，带院子，可以养些花花草草，适合一家人住。<br />
<br />
【交通出行】<br />
位于地铁16+号线的新场站，不管是大站车还是小站车都会停；公交1068路，1127路，浦东53路等都到新场地铁站，自驾：从沪南公路可以上申嘉湖高速；从康新公路上罗山高架到张江24公里；有多趟班车到张江，陆家嘴及漕河泾，上班出行也方便。<br />
<br />
【出租原因】<br />
房东目前在自住，准备租掉就搬到市区去，这个房子放着也是放着，房东诚心出租，看房方便<br />
<br />
【周边配套】<br />
中优广场（类似于万达），新环广场（2020年交付使用）大型综合商场，吃饭购物逛街看电影都可以满足；银行：中国银行，农业银行，建设银行，邮政储蓄 ；商圈：出小区北门就是东方冠郡一期底商，各种超市，理发店，早餐店，早教店，琳琅满目，任您挑选<br />
<br />
【小区介绍】<br />
此小区内住户80%以上是张江高科高科技园区的人才，学历大部分都是本科以上的新上海人，其中不乏很多硕士博士等等，小区住户素质普遍非 常高。上班有专门去张江，陆家嘴各园区的班车；人文气息比较浓厚，纯商品房小区，适合置业要求品质高的小区<br />
<br />
",2号线 - 海天三路,219m,http://sh.lianjia.com/zufang/SH2539685387220025344.html,"
          整租·万科清林径 5室2厅 复式 南/北        ",浦东,新场,万科清林径
房源编号：SH2562284467393929216,整租·仁恒河滨城(一期),4室2厅,25500,无信息,整租,208㎡,南 北,5天前,中楼层/26层,暂无数据,1年以内,随时入住,有,"【房源亮点】<br />
楼栋近一期门口，挨着景观大道，中高楼层视野开阔。业主很爱惜房子，保养很好。<br />
<br />
【装修描述】<br />
房子业主自住的，装修保养都很好，拎包入住，可以帮忙装墙暖（如果租客确实需要的话）。<br />
<br />
【交通出行】<br />
1.地铁 :  2号线上海科技馆站，9号线芳甸路站、杨高中路站7号线花木路站；<br />
2.公交 : 芳甸路杨高中路(640路184路815路)、杨高中路芳甸路(机场5线花木1路181路184路)、丁香路芳甸路(花木1路)。<br />
<br />
【出租原因】<br />
现在不在这边了，房子暂时用不到，拿出来出租，业主自住的保养装修都很好<br />
<br />
【周边配套】<br />
1.学 校：教育进才实验小 学、东方幼儿园、东方幼儿园联洋部<br />
2.医院：联洋地段医院、瑞东医院、公利医院<br />
3.银行：中国银行、工商银行、建设银行、恒生银行、民生银行、招商银行、邮局<br />
4购物：联洋大拇指广场，丁香国际、家乐福、社区休闲<br />
<br />
【小区介绍】<br />
仁恒河滨城是新加坡仁恒集团在上海建立口碑的明星楼盘，坐落于联洋--碧云国际社区，天然景观河道洋泾港河岸以北。小区绿化高，人车分流，内有室外泳池、儿童游乐园、亲子沙滩、篮球场、高尔夫练习场、小型足球场以及会所，内设羽毛球馆、健身房等。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2562284467393929216.html,"
          整租·仁恒河滨城(一期) 4室2厅 南/北        ",浦东,联洋,仁恒河滨城(一期)
房源编号：SH2530990948423573504,整租·圣地维拉,5室2厅,18000,(季付价),整租,420㎡,南,今天,低楼层/2层,免费使用,2年以内,随时入住,无,"【交通出行】<br />
17号地铁徐盈路站 门口公交：徐泾2路;徐泾2路区间 可直达地铁2号线。<br />
<br />
【周边配套】<br />
商场：奥特莱斯、食尚天地、永业购物center、家乐福、徐泾菜市场 school：西华国际、德法school、美国school、英国school 医院：远大健康城、德达医院、虹桥医学center、复旦大学附属中山医院青浦分院<br />
<br />
【小区介绍】<br />
小区是由大华集团在2010年建造的东南亚风格别墅小区。小区占地17万方，容积仅0.6，环境优美，绿化57%。适宜居住。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2530990948423573504.html,"
          整租·圣地维拉 5室2厅 南        ",青浦,徐泾,圣地维拉
房源编号：SH2528090940988727296,整租·灿辉晶典1733,3室5厅,8000,(季付价),整租,163㎡,南,2天前,低楼层/3层,免费使用,3年以内,随时入住,无,"【户型介绍】<br />
房子面积总面积163平米，附送地下室，带花园，楼上共3层。5室。<br />
<br />
【交通出行】<br />
紧靠沪青平公路，有706路;706路区间;865路;沪青盈专线;沪朱专线;上青线;徐泾3路、交通便利。 出门就是沈海高速，开车到虹桥机场仅15min。到市区仅40min。<br />
<br />
【周边配套】<br />
门口就是永业购物钟心，有家乐福，肯德基，必胜客等等，生活便利。 小区西面是食尚天地，有希尔顿酒店，绿地夏日酒店等<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2528090940988727296.html,"
          整租·灿辉晶典1733 3室5厅 南        ",青浦,徐泾,灿辉晶典1733
房源编号：SH2778307275901902848,整租·花苑二村,3室1厅,5300,(季付价),整租,106㎡,南 北,3天前,高楼层/4层,暂无数据,暂无数据,随时入住,无,"【房源亮点】<br />
装修好，楼层位置好，房屋采光好，小区全新，环境优美，配套设施齐全<br />
<br />
【户型介绍】<br />
户型是南北通，三室两厅一厨两卫，客厅宽敞明亮，复式，楼上有卫生间和洗澡间<br />
<br />
【装修描述】<br />
精装修，家具家电齐全，之前租客住过，现在房子空出来了 ，房东诚意出租<br />
<br />
【出租原因】<br />
房东有好几套房子，房东不住这边，动迁房，分了好几套，自己住不过来，所以拿出来出租，资源合理化<br />
<br />
【周边配套】<br />
小区前面700米有欧润发超市广场，夏威夷生活广场和菜市场<br />
<br />
【小区介绍】<br />
该小区是动迁房，小区绿化程度高，物业负责，小区配套设施齐全<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2778307275901902848.html,"
          整租·花苑二村 3室1厅 南/北        ",闵行,闵浦,花苑二村
房源编号：SH2778240721499996160,整租·济阳一村,2室1厅,5200,(季付价),整租,55㎡,东南,2天前,中楼层/6层,租用车位,1年以内,随时入住,无,"【房源亮点】<br />
该 房源是简单装修的双南二房，中间楼层三楼 配套齐全 采光好<br />
<br />
【户型介绍】<br />
济阳一村的标准双南通透户型，中楼层 采光通风很好，居住舒适<br />
<br />
【装修描述】<br />
这套房子装修简单，清爽，干净，适合过日子的人居住，而且配套齐全， 适合居家<br />
<br />
【交通出行】<br />
小区距离七号线 十三号线长清路一公里 和八号线成山路地铁站大概两公里，比较僻静，门口有627,604,1131路公交车<br />
<br />
【周边配套】<br />
背靠济阳公园，小区出门就有公交，小区出门有药店，菜市场，内有幼儿园，养老院<br />
<br />
【小区介绍】<br />
区环境优美，安保措施很好，同时小区内部娱乐设施完备，适合休闲养生<br />
<br />
","7号线,13号线 - 长清路",1063m,http://sh.lianjia.com/zufang/SH2778240721499996160.html,"
          整租·济阳一村 2室1厅 东南        ",浦东,世博,济阳一村
房源编号：SH2778361427671924736,整租·金地褐石苑,3室2厅,5600,(季付价),整租,86㎡,南,今天,低楼层/11层,暂无数据,暂无数据,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2778361427671924736.html,"
          整租·金地褐石苑 3室2厅 南        ",松江,泗泾,金地褐石苑
房源编号：SH2778267841063813120,整租·住友名人花园,3室2厅,12500,(季付价),整租,145㎡,南,今天,低楼层/18层,暂无数据,3年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2778267841063813120.html,"
          整租·住友名人花园 3室2厅 南        ",浦东,金杨,住友名人花园
房源编号：SH2778260311105609728,整租·惠南一方新城,2室2厅,3800,(季付价),整租,94㎡,南,今天,中楼层/11层,暂无数据,暂无数据,随时入住,有,无信息,16号线 - 惠南,1162m,http://sh.lianjia.com/zufang/SH2778260311105609728.html,"
          整租·惠南一方新城 2室2厅 南        ",浦东,惠南,惠南一方新城
